SKU,Intercept,params,pvalues,rsquared
EGB8E,4.22969766567057,-1.3879620659481673,7.921635230671014e-18,0.5963480529063327
UCK6F,2.4755277028174008,-0.7379221439598154,2.2094458734350482e-38,0.6484315588186358
LKDTY,2.454906521064766,-0.7710219528231004,1.3269803994138222e-09,0.44463155977884405
0PW5H,3.6260753508989487,-1.150937868880278,1.0590541314925793e-19,0.46592246545079063
6SPWZ,3.697421296423572,-1.2832785420267692,7.597397915139686e-05,0.6849002667412007
B82LD,2.4002200716911957,-0.6825709197513483,6.930926202659123e-05,0.44936365373126075
MLAK3,1.0985555899667354,-0.15470079263325442,1.011038374080516e-15,0.9937638314048639
7Q5A4,1.8469603094574694,-0.3975658812308362,0.00033925934228857494,0.46493828246775615
H15DO,3.511312080320527,-0.8126454792316249,2.418721276380749e-06,0.45586698124663005
HUALX,2.8410985132251128,-0.8527536779588198,0.0007395755185037209,0.4257436412218293
